weeks,demand
1,49.621577565525875
2,53.11182250674393
3,44.36506839208309
4,64.84858576246263
5,49.21346954133725
6,55.422489754126936
7,63.49951456750122
8,56.003398225900405
9,58.0647991622204
10,59.805124352219906
11,67.96668839699264
12,77.38812880505532
13,66.70769696499201
14,61.337461515412954
15,69.90470977716447
16,64.36936392782182
17,67.25890777392634
18,73.10484475643801
19,63.2457527352417
20,66.67635283727458
21,61.79010800110985
22,64.86506086851458
23,66.32890113043183
24,59.44926139902747
25,62.011256972407246
26,61.819079845736994
27,59.10635813502527
28,55.668781925198005
29,53.847864993054
30,59.585292301177574
31,58.47406773160837
32,70.52560736202507
33,46.84105463568377
34,59.33379386514668
35,60.497662426784075
36,65.44800688650884
37,61.29986785964605
38,54.85184273987015
39,59.50004880735798
40,62.78467411976461
41,59.223040840772434
42,65.50489626349291
43,53.304986470649084
44,72.42608467096576
45,72.35328257115606
46,64.6903867249728
47,70.87605643055703
48,69.59262123890325
49,66.80827468450074
50,73.04539444916608
